row_id,approx_timestamp,sender,intent,item,category,price,content
1,2026-04-05 00:00:00,下辈子当一只草履虫,收,锅,kitchen,30,随缘收个锅
2,2026-04-05 03:38:10,德米安,收,电饭煲,kitchen,50,好价收个电饭煲
3,2026-04-05 07:16:20,Apricot,收,空气炸锅,kitchen,80,随缘收个空气炸锅
4,2026-04-05 10:54:30,狄更斯是漫畫嗎,收,德宝抽纸,food,15,收5包德宝抽纸
5,2026-04-05 18:10:50,act `self,出,小熊多功能电热锅+蒸笼,kitchen,35,35r出一个小熊多功能电热锅，带蒸笼。原价145，买回只用来蒸了两次东西就闲置
6,2026-04-05 21:49:00,www,拼单,iCloud,service,20,有人拼个iCloud吗
7,2026-04-06 01:27:10,：）,出,72色拼豆包,fashion,30,30r出72色拼豆包，含常用色替换豆、豆板、镊子、钥匙扣等，有几个色快没了，无熨斗，杂牌子只适合做着玩
8,2026-04-06 05:05:20,Sabrina,出,干湿分离旅行包,fashion,24,出 干湿分离旅行包 可以带上廉价航空✈️ 也可以用来做健身包 两周前买来就用了一次 半价出24rmv
9,2026-04-06 08:43:30,Sabrina,出,傲滴隐形眼镜护理液120ml,beauty,25,傲滴 隐形眼镜护理液 120ml 全新未拆封 买来不到一个月 2027 10月过期 25rmb
10,2026-04-06 12:21:40,Sabrina,出,Canon CCD A530相机套装,electronics,550,ccd a530 带充电器内存卡和电池 功能完好 就是开机镜头需要手拨一下才能完全打开 不影响使用 550
11,2026-04-06 15:59:50,Gn6,出,Touch Color 168色马克笔,other,80,80r出touch color全套168色硬头马克笔
12,2026-04-06 19:38:00,Gn6,出,雅马哈PSR-E360电子琴,other,400,400r 出雅马哈电子琴PSR-E360 61键 胡桃木色 包含电源线、X型架、单踏板 宿舍练琴娱乐必备，音质不错，可插耳机，连手机内录或者当音响用
13,2026-04-06 23:16:10,Gn6,出,书法工具套装,books,5,出书法工具套装 5r 认识送
14,2026-04-07 02:54:20,Gn6,出,Adidas网球拍,sports,20,出Adidas网球拍 20r 认识送
15,2026-04-07 06:32:30,黄千容,出,碗+盘,kitchen,15,15r打包出一个碗+一个盘
16,2026-04-07 10:10:40,act `self,出,江中乳酸菌素片两盒,food,30,出江中乳酸菌素片，30两盒，全新未拆封
17,2026-04-07 20:57:00,Ophelia,收,零食小推车,other,20,收零食小推车
18,2026-04-08 00:35:10,Norden,出,爱玛买菜电动车,electronics,1000,出爱玛买菜电动车，有深圳牌，校园通行证到九月，12月刚换过电池，可往返万科/仁恒梦
19,2026-04-08 04:13:20,Insignificance,出,固色护发素两大瓶,beauty,15,15r出两大瓶固色护发素
20,2026-04-08 11:29:40,Alina,出,祖玛珑温暖壁炉香水小样,beauty,100,温暖壁炉余量一半出一点头吧100
21,2026-04-08 15:07:50,Alina,出,YSL面霜,beauty,90,ysl面霜 长沙线下买的290没用过
22,2026-04-08 22:24:10,Tuski🌙,出,巴宝莉古着风衣,fashion,700,巴宝莉古着风衣，L，正品支持鉴定，700r
23,2026-04-09 05:40:30,易安,收,厚毛片羽毛球,sports,10,收厚毛片羽毛球
24,2026-04-09 09:18:40,避风塘炒蟹消失魔法,出,三寸小卡硬卡套,other,3,出三寸小卡硬卡套 侧边开口 全新未拆一包10个 3r
25,2026-04-09 12:56:50,Alina,出,碳水阻断,other,80,韩国买的碳水阻断没拆全新 80
26,2026-04-09 16:35:00,Alina,出,香水小样两瓶,beauty,55,两瓶香水小样 祖玛龙余4/5 欧珑全新 55
27,2026-04-09 23:51:20,tt_,出,安克20000毫安充电宝,electronics,110,出全新仅拆2w毫安 安克充电宝 110r
28,2026-04-10 03:29:30,剁椒西红柿🍅,出,The Ordinary烟酰胺精华,beauty,15,15出剩下的the ordinary烟酰胺精华，去年买的，对我有点刺激
29,2026-04-10 07:07:40,剁椒西红柿🍅,出,雅诗兰黛圣诞特别款,other,50,全新雅诗兰黛圣诞特别款50r一支
30,2026-04-10 10:45:50,剁椒西红柿🍅,出,香水小样,beauty,10/5/7,出香水小样，最右柏氛003全新未拆10r，左侧三个余量大概一半5r，檀道7r
31,2026-04-10 14:24:00,没猫bee,拼单,拼车去大中华,service,15,蹲蹲13号下午四点半或五点左右拼车去大中华
32,2026-04-10 18:02:10,Jennifer Yip,拼单,沃集鲜咸奶油泡芙,service,4,有同学拼沃集鲜咸奶油泡芙吗 4r 4个
33,2026-04-10 21:40:20,happy（期末考试显化中）,拼单,达美乐披萨,service,20,有人还没吃饭吗？达美乐有披萨买一送一，有人一起拼单吗
34,2026-04-11 01:18:30,Jennifer Yip,出,日本叮叮电蚊香补充液,other,10,日本叮叮电蚊香补充液
35,2026-04-11 04:56:40,Jennifer Yip,出,一次性碘伏棉棒,other,5,一次性碘伏棉棒
36,2026-04-11 12:12:59,stupid child,出,闲置杂物+定型喷雾,other,10/20,出闲置10r打包带走（放大镜、渔夫帽、公司文创-水杯、魔方）； 20r 沙宣定型喷雾（使用次数不超过10次，整体定型效果稳定10小时以上，且无气味）； https://my.feishu.cn/sheets/BXuls0QKRhhseEttNQ9cwRMKnvf?from=from_copylink
37,2026-04-11 15:51:10,Jennifer Yip,出,海绵宝宝洗碗海绵,kitchen,1,海绵宝宝洗碗海绵1r
38,2026-04-11 19:29:20,归去来兮,收,护发素型洗发水,beauty,20,收一瓶护发素类型的洗发水
39,2026-04-12 02:45:40,Gn6,出,校内泰拳课9节课时,sports,200,转让校内泰拳课9节课时，外聘教练具有专业职业大赛经验，半价，可刀
40,2026-04-13 00:38:10,罐装罐装请赐予我力量,收,收纳盒,furniture,10,收一个这种样子的收纳盒
41,2026-04-13 04:16:20,🐟,出,jacd包包,fashion,120,jacd包包，全新没背过，可斜挎可单肩，120r可刀
42,2026-04-13 07:54:30,🐟,出,豆针+豆铲,other,15/10/22,出豆针15r，豆铲10r，均全新，打包22r
43,2026-04-13 11:32:40,🐟,出,电脑包,fashion,15,出电脑包，15r可刀，背过一两次
44,2026-04-13 15:10:50,柴理,拼单,ChatGPT 5会员,service,20,有同学拼chatgpt5会员吗？开了一个
45,2026-04-13 18:49:00,Insignificance,出,香奈儿口红,beauty,150,出一只香奈儿口红带包装+盒子，别人送的，没打开用过，150r可🔪
46,2026-04-13 22:27:10,Ophelia,出,数学书,books,15/20,改一下：数学书15r一本，20r两本
47,2026-04-14 05:43:30,王蹄蹄,收,演唱会立式支架,furniture,20,收演唱会立式支架
48,2026-04-14 09:21:40,易安,收,校内电动车,electronics,1000,收校内电动车
49,2026-04-14 12:59:50,宜圻,出,书+Dimoo盲盒,books,30,出书和dimoo盲盒，里面没拆，价格随缘可议
50,2026-04-14 16:38:00,Sabrina,出,火锅鸳鸯锅,kitchen,60,6折出火锅鸳鸯锅；仅用2次，很新！ 适合2人➕在家吃火锅用
51,2026-04-14 23:54:20,青鸟,收,电饭煲,kitchen,50,有人出电饭煲吗
52,2026-04-15 10:40:40,syutning_,出,米白单肩包,fashion,30,米白单肩包30r出 全新
53,2026-04-15 17:57:00,東雲,出,吉他贝斯背带,fashion,30,出9新吉他贝斯背带30r，换琴了颜色不搭所以出，没怎么用过
54,2026-04-15 21:35:10,德米安,出,100元通用餐券,tickets,90,9折出10*10=100元通用餐券 9月到期
55,2026-04-16 01:13:20,Sabrina,收,蓝牙鼠标,electronics,30,蹲一个出蓝牙鼠标的
56,2026-04-16 04:51:30,易安,收,石头饰品,other,10,想要这仨石头
57,2026-04-16 22:42:20,.,出,白兔毛团团珠子,other,10,白兔毛团团珠子，卡10-11（我没量），孔打的有点瑕疵，便宜10块出了
58,2026-04-17 02:20:30,Eason Chan,出,苹果充电线,other,15,淘宝买的苹果充电线15
59,2026-04-17 09:36:50,stupid child,出,西丽宿舍床位（男）,furniture,500,出西丽宿舍床位，限男生，人最好在学校且手机带nfc功能
60,2026-04-17 20:23:10,吴梓烽WU Zifeng,出,慢严舒柠糖果,food,3,慢严舒柠糖果，一共3盒，3块一盒
61,2026-04-18 00:01:20,Danial Wong,出,苹果有线耳机,electronics,15,出一个苹果有线耳机，15
62,2026-04-18 07:17:40,硫酸猫铜,出,墨丝蛛蛛手办,other,25,25出一个萌宠异次元的墨丝蛛蛛手办（头可动）
63,2026-04-18 10:55:50,Sabrina,出,西丽宿舍床位（女）,furniture,500,出西丽宿舍床位，限女生，二人间有独卫和阳台，四楼🙋‍♀️
64,2026-04-18 14:34:00,happy（期末考试显化中）,收,Apple Pencil笔尖,electronics,10,求收一个Apple Pencil笔尖[流泪][流泪][流泪]🆘摔断了
65,2026-04-18 18:12:10,Mislaxy_,出,微积分教材,books,20,20出微积分教材，可刀，有需要私信
66,2026-04-18 21:50:20,德米安,出,果蔬酵素清洗剂,other,6,蔬果园 阳光富士 果蔬酵素清洗剂 6r
67,2026-04-19 01:28:30,德米安,出,cookerbene不粘锅,kitchen,20,cookerbene 煎炒炸煮万能不粘锅无涂层 100+购入 内部稍有划痕 20出
68,2026-04-19 08:44:50,Mislaxy_,出,10oz拳套,sports,40,40 出七成新10oz 拳套 送两个绑带 可小刀，有需要私信我
69,2026-04-19 12:23:00,Mislaxy_,出,牛津高阶英汉词典,other,38,38 出牛津高阶英汉词典 买来没怎么翻过 可小刀，有需要私信我
70,2026-04-20 18:48:50,Ew！,送,学校动保的杯子,other,20,学校动保的杯子 有吸管和杯刷 免费送  学勤A自取
71,2026-04-21 13:37:41,自白-_-,出,自行车,other,180,出自行车 前后轮都在半年内换新 180r出 可小🔪 有锁和打气筒 雨衣（有点破了） 三四公里不是问题 最远骑过12km
72,2026-04-21 15:04:31,PERSUADE🌝,收,鞋架,furniture,8,收鞋架
73,2026-04-21 16:31:21,下辈子当一只草履虫,收,字典,books,15,严肃收字典
74,2026-04-22 01:12:21,熊小珺💓,出,鞋架,furniture,8,出鞋架 8r
75,2026-04-22 04:06:01,Summer,收,字典,books,15,收字典
76,2026-04-22 06:59:41,易安,出,人体工学椅,furniture,250,出人体工学椅
77,2026-04-22 18:34:22,熊小珺💓,出,镜子+瑜伽垫,furniture,140,出镜子送瑜伽垫 价格可议
78,2026-04-23 09:02:42,Iefiynij🍨,出,礼服,other,100,出礼服 XL 仅穿一次 100r
79,2026-04-23 11:56:22,Danial Wong,出,书,books,10,出书
80,2026-04-23 14:50:02,Sabrina,跑腿,山姆帮带,service,10,有uu现在在cocopark山姆嘛 帮带进 10r
81,2026-04-23 19:10:32,Blair,出,香薰一套,other,2,香薰一套（包括杯子+晶石+干木装饰+香薰） 全新未拆/ 2r
82,2026-04-24 00:57:53,Blair,出,库洛米不倒翁摆件,other,5,库洛米不倒翁摆件，全新未拆，5r
83,2026-04-24 02:24:43,Blair,出,朱迪尼克、草莓熊等积木,other,2,朱迪尼克、草莓熊等积木，2r/个
84,2026-04-24 03:51:33,Blair,出,可口可乐挂件,other,1,可口可乐挂件，1r
85,2026-04-24 13:59:23,Blair,出,各种图案的港中深小夜灯随机,other,1,各种图案的港中深小夜灯随机，1r/个
86,2026-04-24 15:26:13,Blair,出,哈利波特泡泡玛特盲盒,other,40,哈利·波特 泡泡玛特正版盲盒，全新未拆盒未拆袋，40r
87,2026-04-25 01:34:03,嗜冬噜,出,松下GX9微单套机,other,4100,套出松下m43微单 gx9+ 14-140mm F3.5-5.6 ASPH二代二版 加各种配件 4100r
88,2026-04-25 13:08:44,🐨,出,蜜丝婷小蓝帽防晒,beauty,25,蜜丝婷全新未开封小蓝帽防晒 2028年过期 25r
89,2026-04-26 00:43:24,硫酸猫铜,出,蔷薇辉石/南红玛瑙/岫玉,other,50,出一些蔷薇辉石，南红玛瑙，岫玉什么的
90,2026-04-26 05:03:54,🌙,收,除湿袋或除湿盒,other,5,收除湿袋或除湿盒
91,2026-04-26 13:44:54,硫酸猫铜,出,学勤毕业晚宴酒,tickets,25,出学勤毕业晚宴酒，带价来
92,2026-04-26 15:11:44,Joshua,跑腿,校园跑腿,service,25,求一位同学下周一帮忙跑腿：学勤书院+下园安保处+上园厚含书院，任意时间，25元
93,2026-04-26 18:05:25,宇宙无敌薯条大王,出,车尔尼740+299两本书,books,10,出车尔尼740+299两本10块
94,2026-04-26 20:59:05,04yyyy,出,瑜伽垫泡沫轴狼牙棒,sports,30,出瑜伽垫泡沫轴狼牙棒 打包30r
95,2026-04-26 22:25:55,04yyyy,出,厨房用品、收纳,furniture,20,出厨房用品、收纳 、小型消毒机
96,2026-04-26 23:52:45,04yyyy,出,只剩半卷保鲜膜,other,3,只剩半卷保鲜膜 3r出
97,2026-04-27 01:19:35,Ryan,出,潘海利根琴酒,other,1300,出潘海利根琴酒 未开封100ml 折价1300出
98,2026-04-27 08:33:45,happy（期末考试显化中）,出,山姆提拉米苏,food,6.8,出刚到的山姆提拉米苏，一个6.8r
99,2026-04-27 12:54:15,Evadne,收,DDA4002 final sample,other,20,收dda4002 随机模拟的final sample，一份20
100,2026-04-27 14:21:05,stupid child,出,17 Pro Max钢化膜+手机壳,other,5/3,出17promax的绿联钢化膜（5r）和手机壳（3r），买错型号了退也麻烦
101,2026-04-27 15:47:55,stupid child,出,洗护用品/面膜/数据线,other,10/20,出沐浴露、爽肤水、牙膏（全新）科颜氏泥膜和水杨酸膜（这个不全新 但余量很多），基本5折起！ 还有两条苹果lighting数据线，一条慢充（10r，我没相关设备可以试试能不能用，如果你拿回去用不了我给你退钱），一条快充成色还比较新（20r） 有卖有送！
102,2026-04-27 20:08:25,syutning_,出,44x30x20cm衣物收纳箱,furniture,10,44*30*20cm衣服收纳 合适衣柜尺寸 10r一个 共3个
103,2026-04-27 21:35:15,syutning_,出,45x25x18cm衣物收纳箱,furniture,10,45*25*18cm衣服收纳 10r一个 共4个
104,2026-04-28 03:22:36,anna.,出,收纳柜+收纳盒,furniture,30/10,出收纳柜和收纳盒，收纳柜30r一个，收纳盒10r一个，各有三个
105,2026-04-28 04:49:26,syutning_,出,永璞茶咖冷萃,other,2,永璞茶咖冷萃 2r一条共5条
106,2026-04-28 06:16:16,Sabrina,出,印尼现金/印尼盾/转换器插头,other,15/10,有没有近期要去印尼的朋友 15rmb出 15人民币现金+不到10 rmb的印尼盾+ 印尼转换器插头
107,2026-04-28 07:43:06,Sabrina,出,被子,other,30,有人要被子吗 用了一学期 可以放洗衣机洗了再给你 30 rmb
108,2026-04-28 09:09:56,！,收,祥波毕业晚宴的票,tickets,40,收一张祥波毕业晚宴的票
109,2026-04-28 10:36:46,Uyisnehk,收,斯汀毕业晚宴的票,tickets,40,收一张斯汀毕业晚宴的票
110,2026-04-29 01:05:06,Liujq_1,出,床上小桌子,furniture,10,出床上小桌子 10块钱
111,2026-04-29 06:52:26,Milky Way,送,香水,beauty,575,送一瓶真假难辨的大地（拿真香水换的）道扬自取
112,2026-04-29 12:39:47,正合适🍧,出,东方甄选黑猪午餐肉,other,30,东方甄选黑猪午餐肉 保质期到年底 未拆封 30r
113,2026-04-29 14:06:37,Uyisnehk,出,电动车,electronics,1000,出带校内牌电动车（非国标 有假白牌但是被人撞碎了只剩一个角） 去年12月底新换电池 最高速度35（下坡可达40） 马力很足接近一个月充一次电 车身有点小破损但完全不影响任何功能
114,2026-04-29 15:33:27,Danial Wong,收,小煎锅和小蒸笼……,kitchen,25,收个小煎锅和小蒸笼……
115,2026-04-29 18:27:07,王蹄蹄,拼单,卡乐比薯条,service,8,拼卡乐比薯条，山姆刚买回来。每盒5小袋
116,2026-04-29 19:53:57,Liujq_1,收,电饭锅,kitchen,50,收个电饭锅
117,2026-04-29 22:47:37,Sabrina,出,学校周边雨伞,other,2,出一个学校周边 雨伞 2 rmb
118,2026-04-30 01:41:17,Sabrina,出,蓝色小裙子,fashion,20,出个蓝色小裙子 实体店买的 只穿过一次 20 rmb
119,2026-04-30 04:34:57,Sabrina,出,学校oal防水包,fashion,5,学校oal防水包 5rmb
120,2026-04-30 06:01:47,Sabrina,出,头发护理乳,other,5,头发护理乳 5 rmb
121,2026-04-30 07:28:37,happy（期末考试显化中）,出,刚到的山姆香蕉可丽饼,food,8.8,出刚到的山姆香蕉可丽饼 一块8.8r
122,2026-04-30 10:22:17,zoowelike,送,一个小米14Pro竖中指子宫手机壳,other,15,免费送一个小米14Pro竖中指子宫手机壳。买错型号了..
123,2026-04-30 11:49:07,考,出,欧莱雅小银管防晒,beauty,110,出欧莱雅小银管防晒，正装*1➕小样7.5ml*4，有效期至2029.2.9，下园自取，💰110
124,2026-04-30 13:15:57,elnipink,出,BA II Plus金融计算器,electronics,100,出德州ba II plus 金融计算器 100r
125,2026-04-30 14:42:47,happy（期末考试显化中）,出,山姆香蕉可丽饼,food,8,出山姆香蕉可丽饼 一块8r
126,2026-04-30 19:03:18,PERSUADE🌝,出,Woodwick黑樱桃香薰蜡烛,other,80,出Woodwick黑樱桃香薰蜡烛 80r 带礼盒
127,2026-04-30 20:30:08,不高兴,出,植村秀持妆粉底液574小样,other,10,植村秀持妆粉底液574小样，今年1.17购入，余一半，10r
128,2026-05-01 02:17:28,少抓魚,出,富士胶片机,other,120,富士胶片机，全新120r，可小刀
129,2026-05-01 05:11:08,Iefiynij🍨,出,字典/书籍,books,30/10,字典30r 其他10r一本
130,2026-05-01 08:04:48,Iefiynij🍨,出,一盒口罩,food,10,一盒口罩10r
131,2026-05-01 10:58:28,Iefiynij🍨,出,牙膏,other,10,牙膏10r
132,2026-05-01 13:52:08,Iefiynij🍨,出,皮革清洁剂,other,5,皮革清洁剂余90% 5r
133,2026-05-01 16:45:48,happy（期末考试显化中）,出,卡诗黑钻护发精油30ml,beauty,60,卡诗黑钻护发精油30ml 使用五次左右 60r
134,2026-05-01 19:39:28,熊小珺💓,出,书,books,10,出书 价格可议
135,2026-05-01 21:06:18,青鸟,收,收纳箱,furniture,15,收收纳箱
